# Атомарные ингредиенты (Уровень 1)
f01;Мука пшеничная в/с
f02;Вода фильтрованная
f03;Яйца категории С0
f04;Соль йодированная
f05;Сахар тростниковый
f06;Дрожжи сухие активные
f07;Молоко пастеризованное
f08;Масло сливочное 82%
f09;Томаты спелые
f10;Сыр Моцарелла
f11;Говядина вырезка
f12;Рис басмати
f13;Лук красный
f14;Чеснок свежий
f15;Перец черный горошек
f16;Масло оливковое extra virgin
f17;Уксус бальзамический
f18;Лимоны свежие
f19;Петрушка кудрявая
f20;Базилик свежий
f21;Орегано сушеный
f22;Тимьян свежий
f23;Розмарин
f24;Мед цветочный
f25;Горчица дижонская

# Базовые смеси (Уровень 2)
f26;Смесь муки и соли
f27;Солевой раствор
f28;Сахарный сироп
f29;Яичная смесь
f30;Молочная основа
f31;Томатная паста
f32;Чесночная паста
f33;Травяная смесь итальянская
f34;Травяная смесь прованс
f35;Маринад базовый
f36;Заправка винегрет
f37;Соусная основа
f38;Кляр жидкий
f39;Панировка
f40;Бульонная основа
f41;Сметанная смесь
f42;Сырная стружка
f43;Овощная нарезка
f44;Фруктовая цедра
f45;Специальная соль

# Полуфабрикаты простые (Уровень 3)
f46;Тесто дрожжевое базовое
f47;Тесто слоеное
f48;Тесто песочное
f49;Соус томатный базовый
f50;Соус сырный
f51;Соус белый
f52;Фарш мясной подготовленный
f53;Фарш овощной
f54;Бульон куриный процеженный
f55;Бульон овощной ароматный
f56;Маринад сложный
f57;Кляр воздушный
f58;Крем заварной базовый
f59;Глазурь зеркальная
f60;Овощи бланшированные
f61;Овощи обжаренные
f62;Мясо маринованное
f63;Рыба подготовленная
f64;Тесто раскатанное
f65;Начинка сладкая

# Полуфабрикаты сложные (Уровень 4)
f66;Тесто для пиццы выброженное
f67;Тесто для пасты
f68;Соус томатный ароматный
f69;Соус бешамель
f70;Соус голландез
f71;Фарш для пельменей
f72;Фарш для котлет
f73;Бульон концентрированный
f74;Маринад пряный
f75;Кляр пивной
f76;Крем дипломат
f77;Глазурь шоколадная
f78;Овощи тушеные
f79;Овочи гриль
f80;Мясо панированное
f81;Рыба в кляре
f82;Тесто формованное
f83;Начинка мясная
f84;Начинка овощная
f85;Основа для десерта

# Компоненты блюд (Уровень 5)
f86;Основа пиццы готовая
f87;Паста свежая
f88;Соус для пасты
f89;Соус для мяса
f90;Котлеты сырые
f91;Гарнир рисовый подготовленный
f92;Овощи для салата
f93;Мясо для жарки
f94;Рыба для запекания
f95;Тесто для выпечки
f96;Крем кондитерский
f97;Овощная смесь тушеная
f98;Мясная смесь фаршированная
f99;Соусная композиция
f100;Десертная основа

# Готовые блюда простые (Уровень 6)
f101;Пицца Маргарита свежая
f102;Паста Карбонара
f103;Салат Цезарь классический
f104;Суп Том Ям
f105;Стейк Рибай medium rare
f106;Роллы Калифорния
f107;Бургер Чизбургер
f108;Тако с говядиной
f109;Рамен с курицей
f110;Плов узбекский
f111;Лазанья мясная
f112;Пельмени сибирские
f113;Курица гриль
f114;Рыба запеченная с лимоном
f115;Омлет с овощами

# Готовые блюда сложные (Уровень 7)
f116;Пицца Маргарита запеченная
f117;Паста Карбонара с трюфелем
f118;Салат Цезарь с креветками
f119;Суп Том Ям кокосовый
f120;Стейк Рибай с соусом
f121;Роллы Калифорния премиум
f122;Бургер Чизбургер двойной
f123;Тако с говядиной острейшие
f124;Рамен с курицей пикантный
f125;Плов узбекский праздничный

# Комбо-наборы (Уровень 8)
f126;Итальянский ужин премиум
f127;Азиатский сет делюкс
f128;Мексиканская фиеста
f129;Праздничный гала-ужин
f130;Семейный обед выходного дня
f131;Романтический ужин
f132;Бизнес-ланч премиум
f133;Детский праздничный набор
f134;Вегетарианское комбо
f135;Шведский стол домашний

